For HNR#3.
#0s, #1s do not include at tape head.
Step# State #0s #1s tape
12	14	14	16	16	18	18	20	20	22	22	24	24	26	26	28	28	30	30	32	32	34	34	36	36	38	38	40	40	42	
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	
14	16	16	18	18	20	20	22	22	24	24	26	26	28	28	30	30	32	32	34	34	36	36	38	38	40	40	42	42	44	
26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	
28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	

rights: 
5	7	7	9	9	11	11	13	13	15	15	17	17	19	19	21	21	23	23	25	25	27	27	29	29	31	31	33	33	35	
10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	
13	13	15	15	17	17	19	19	21	21	23	23	25	25	27	27	29	29	31	31	33	33	35	35	37	37	39	39	41	41	
12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	
4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	
14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	
19	19	21	21	23	23	25	25	27	27	29	29	31	31	33	33	35	35	37	37	39	39	41	41	43	43	45	45	47	47	
16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	
13	13	15	15	17	17	19	19	21	21	23	23	25	25	27	27	29	29	31	31	33	33	35	35	37	37	39	39	41	41	
18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	
25	25	27	27	29	29	31	31	33	33	35	35	37	37	39	39	41	41	43	43	45	45	47	47	49	49	51	51	53	53	
20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	
4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	
22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	
31	31	33	33	35	35	37	37	39	39	41	41	43	43	45	45	47	47	49	49	51	51	53	53	55	55	57	57	59	59	
24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	
4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	
26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	
